"Time,fr","Time,min",cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25
88,87.95492025,166.011,151.935,187.705,191.258,138.961,166.054,155.933,187.296,159.001,132.184,147.02,162.272,166.504,156.981,235.57,237.422,122.179,161.421,232.058,235.944,177.557,227.495,231.954,253.746,228.741
89,88.95440798,171.856,152.038,187.058,183.559,137.847,161.421,161.368,182.965,164.922,133.21,142.444,162.693,168.006,153.376,229.688,234.547,122.213,161.165,227.921,233.42,178.839,231.332,234.049,248.275,229.709
90,89.95389571,167.558,153.499,186.909,183.559,140.397,163.744,158.276,182.89,161.389,130.544,142.046,164.731,170.246,153.346,238.243,240.394,122.577,163.052,237.905,238.822,174.8,226.872,231.4,249.747,228.3
91,90.95338344,171.651,154.027,184.466,185.462,139.018,163.497,155.668,187.146,160.11,129.503,141.922,161.822,169.501,158.163,241.538,236.257,121.994,162.182,237.351,236.605,172.66,235.966,232.197,250.727,224.242
92,91.95287117,174.681,152.347,188.795,187.562,138.405,163.21,162.912,184.365,164.224,130.319,141.139,163.777,168.333,157.052,236.955,239.882,121.826,164.851,242.661,233.085,177.507,226.508,234.143,245.568,234.633
93,92.9523589,171.266,156.403,188.39,188.697,139.825,164.767,156.307,186.411,159.496,127.402,143.226,160.744,168.849,158.199,236.814,235.46,119.015,161.647,234.141,234.819,175.798,236.144,233.422,246.924,225.188
94,93.95184663,170.275,152.713,187.759,187.752,137.87,164.135,156.513,186.504,165.805,129.055,142.698,162.783,169.04,158.266,241.478,233.745,122.102,161.015,234.636,234.115,173.883,234.017,230.266,252.095,224.639
95,94.95133436,168.464,151.82,188.962,187.288,137.685,166.167,156.893,187.558,162.746,135.057,145.001,163.357,170.981,156.826,233.683,235.22,118.122,164.094,234.189,235.761,175.855,225.727,229.705,249.508,226.983
96,95.95082209,167.624,155.173,185.626,188.298,137.052,161.907,157.239,180.44,165.038,130.901,140.425,161.905,167.42,161.965,239.195,233.773,121.741,166.099,241.164,235.399,177.791,229.287,229.207,252.456,224.789
97,96.95030982,168.225,153.151,185.816,188.584,141.318,162.729,159.805,183.856,160.049,129.664,141.088,165.436,169.364,154.476,234.036,235.438,119.348,165.141,233.321,235.885,180.111,225.891,229.664,243.604,228.857
98,97.94979755,169.124,151.158,185.027,183.848,137.823,163.122,158.748,184.707,161.77,131.471,142.081,161.764,170.522,155.466,238.225,236.819,121.614,162.758,234.201,232.879,177.803,233.575,234.937,250.699,227.06
99,98.94928528,167.578,151.759,186.695,183.813,134.896,165.914,158.472,183.863,157.839,131.674,142.808,160.564,170.114,156.111,238.536,231.953,121.25,161.62,230.813,239.989,180.014,226.52,230.55,250.91,220.65
100,99.94877301,169.244,152.184,183.208,181.673,138.234,163.683,156.322,186.224,159.581,123.729,141.768,163.617,165.11,154.978,230.085,239.709,121.005,159.799,233.013,234.128,179.118,224.717,232.488,246.62,229.744
101,100.9482607,170.151,148.688,186.631,189.578,141.685,162.976,157.981,183.637,162.597,129.181,143.845,163.373,170.394,157.798,231.349,236.021,118.577,164.324,226.298,233.952,174.335,223.824,231.506,247.142,226.316
102,101.9477485,169.222,156.04,183.79,185.121,137.365,164.848,158.349,183.523,164.048,135.658,140.762,160.048,170.586,155.086,243.386,238.542,120.515,164.692,233.043,235.24,173.388,231.588,231.284,249.614,226.625
103,102.9472362,168.149,153.255,185.751,189.756,133.933,161.628,159.623,187.194,158.099,132.019,142.542,162.393,169.591,155.279,235.949,230.813,119.381,161.947,235.051,231.632,176.845,224.896,230.529,252.624,225.267
104,103.9467239,169.751,152.448,187.232,183.891,138.426,162.013,158,184.258,166.152,130.658,143.949,159.903,168.099,154.429,234.034,233.609,121.447,158.584,233.348,231.789,174.848,228.385,232.714,245.588,224.73
105,104.9462117,168.592,151.486,186.257,182.392,135.7,164.717,155.831,184.581,165.059,127.077,142.813,160.4,170.49,152.359,237.081,228.232,123.835,164.429,225.793,235.708,172.296,224.227,229.942,247.937,227.587
106,105.9456994,169.952,149.404,188.761,192.023,136.417,164.606,154.812,184.821,157.682,127.581,143.251,161.768,167.823,155.135,230.259,235.275,121.124,162.797,230.052,232.316,176.584,230.053,232.331,249.194,228.172
107,106.9451871,170.35,153.141,184.406,189.574,139.52,161.818,158.569,184.211,162.236,134.673,141.166,161.758,168.253,151.156,230.223,236.705,122.018,161.83,230.401,236.07,176.706,224.942,232.336,242.915,228.775
108,107.9446748,169.267,154.153,185.57,186.772,136.368,162.279,157.655,185.415,161.366,123.526,143.395,164.002,161.832,154.012,234.974,234.227,119.398,157.436,230.839,235.004,173.26,229.537,227.866,244.934,225.407
109,108.9441626,168.621,153.281,187.219,187.122,135.531,162.491,157.594,186.374,157.87,127.416,140.701,162.352,167.879,158.647,228.688,234.78,120.401,160.988,227.684,232.138,175.342,221.018,230.926,245.221,227.301
110,109.9436503,166.381,148.653,182.715,188.949,137.367,166.049,155.357,185.322,168.735,129.373,140.23,165.167,171.398,155.265,236.388,233.956,117.597,162.564,225.502,234.741,173.389,221.873,231.462,244.257,230.841
111,110.943138,167.032,154.572,186.196,186.729,138.321,163.805,158.367,182.021,159.429,124.024,142.998,159.89,166.999,150.362,233.847,233.697,123.228,157.208,233.291,232.657,174.78,230.52,228.713,250.203,226.21
112,111.9426258,164.745,145.72,186.727,191.546,137.521,165.009,158.797,182.535,161.254,129.209,141.713,164.042,163.475,158.147,237.98,231.858,122.251,158.906,233.087,234.501,177.178,223.475,228.661,251.253,224.311
113,112.9421135,163.319,154.291,182.302,187.343,136.033,162.862,154.319,190.137,161.914,128.944,142.44,166.353,169.272,156.318,234.811,235.101,121.008,162.015,229.477,232.892,175.776,233.024,232.529,246.996,227.442
114,113.9416012,169.918,151.012,187.87,179.355,138.409,159.629,158.245,182.14,160.566,121.914,140.909,162.386,171.554,156.894,235.298,231.496,123.421,160.36,226.419,234.447,176.244,227.265,230.283,243.728,223.553
115,114.941089,165.512,151.986,182.867,191.363,135.522,164.841,154.182,189.631,161.573,128.094,141.682,164.846,168.563,157.41,233.276,235.823,122.006,164.483,233.464,230.067,173.129,222.029,227.503,248.073,223.887
116,115.9405767,169.606,150.46,185.688,182.66,136.388,168.712,149.845,181.357,162.173,124.266,142.955,165.297,173.603,158.971,240.479,223.927,126.424,161.594,233.861,231.714,178.327,225.745,226.248,240.958,222.387
117,116.9400644,168.931,150.674,187.207,185.329,138.357,166.169,154.733,181.615,166.451,130.712,144.493,165.101,172.576,156.969,236.505,233.149,123.056,165.72,233.934,231.47,173.897,228.689,228.422,248.684,220.472
118,117.9395521,167.978,152.628,185.672,185.746,138.551,167.719,156.643,188.652,163.4,127.897,142.696,160.636,168.994,156.04,233.752,230.69,121.954,166.905,233.399,233.93,176.151,229.587,232.332,243.99,227.277
119,118.9390399,164.955,152.193,184.733,188.731,134.336,167.18,154.219,183.13,167.398,129.982,141.532,167.078,172.28,159.355,234.658,233.166,125.667,158.679,223.059,229.241,172.53,223.022,231.019,246.045,219.681
120,119.9385276,168.819,152.293,184.16,188.637,139.27,165.959,158.091,178.655,155.348,129.782,142.05,160.06,173.93,154.584,238.226,229.739,128.508,164.922,232.915,235.73,168.771,233.105,228.745,245.244,225.357
121,120.9380153,169.492,152.906,187.327,188.083,139.243,170.426,158.816,184.73,158.839,129.697,142.111,166.45,173.195,155.593,236.014,233.988,121.309,164.75,227.051,232.345,174.775,228.519,230.911,252.518,226.463
122,121.9375031,168.638,154.14,187.51,190.471,140.798,169.262,158.277,184.748,162.422,130.816,141.209,165.099,170.724,157.336,233.721,236.016,125.955,161.385,233.38,233.398,177.623,225.199,229.736,253.581,225.454
123,122.9369908,168.552,152.908,187.735,176.069,138.161,167.944,157.68,188.867,159.958,130.712,142.968,162.768,170.244,155.841,232.629,232.368,126.458,163.155,231.891,234.742,176.085,230.352,233.037,249.081,221.309
124,123.9364785,171.035,153.996,184.334,185.195,141.159,163.885,157.814,186.138,164.661,125.168,144.579,160.09,167.538,156.622,235.449,232.047,127.129,160.968,234.54,233.668,177.071,229.294,228.475,240.69,223.957
125,124.9359663,170.299,156.866,189.702,191.812,138.259,168.625,155.142,185.676,159.422,130.098,142.215,163.176,165.105,152.371,233.752,233.033,124.913,165.806,229.163,235.704,174.008,226.793,227.022,248.6,222.479
